Sender,Recipient,Timestamp,Content
emp001,external@unknown.net,2025-01-06 02:00:00,Urgent: Send the data file!
emp005,external@example.com,2025-01-06 00:00:00,Here's the payroll data.
emp010,external@external.org,2025-01-09 20:00:00,Please approve this request.
emp007,external@example.com,2025-01-05 00:00:00,Here's the payroll data.
emp009,external@example.com,2025-01-03 17:00:00,Can you send me the client list?
emp007,external@unknown.net,2025-01-09 09:00:00,Here's the payroll data.
emp009,external@external.org,2025-01-04 21:00:00,Can you send me the client list?
emp008,user@company.com,2025-01-08 02:00:00,Here's the payroll data.
emp012,user@company.com,2025-01-04 23:00:00,Please approve this request.
emp002,external@unknown.net,2025-01-08 14:00:00,Please approve this request.
emp001,external@unknown.net,2025-01-04 22:00:00,Can you send me the client list?
emp016,external@external.org,2025-01-04 09:00:00,Urgent: Send the data file!
emp005,user@company.com,2025-01-03 16:00:00,Can you send me the client list?
